minute_local,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09
00:00,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:01,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:02,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:03,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:04,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:05,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:06,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:07,0.14,0.13,0.14,0.12,0.13,0.13,0.13
00:08,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:09,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:10,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:11,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:12,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:13,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:14,0.14,0.13,0.14,0.13,0.13,0.14,0.13
00:15,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:16,0.13,0.13,0.14,0.13,0.13,0.13,0.13
00:17,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:18,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:19,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:20,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:21,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:22,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:23,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:24,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:25,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:26,0.14,0.13,0.14,0.13,0.13,0.13,0.13
00:27,0.14,0.13,-1.64,0.13,0.13,0.13,0.13
00:28,0.14,0.13,-3.28,0.13,0.13,0.13,-3.67
00:29,0.14,0.13,-2.94,0.13,0.13,0.13,-2.72
00:30,0.14,0.13,-2.6,0.13,0.13,0.13,-2.57
00:31,0.14,0.13,-2.47,0.13,0.14,0.13,-2.43
00:32,0.14,0.13,-2.36,0.13,0.13,0.13,-2.11
00:33,0.14,0.13,-2.06,0.13,0.13,0.13,-2.05
00:34,0.14,0.13,-2.01,0.13,0.13,0.13,-1.97
00:35,0.14,0.13,-1.99,0.13,0.13,0.13,-1.93
00:36,0.14,0.13,-1.92,0.13,0.13,0.13,-1.88
00:37,0.14,0.13,-1.64,0.13,0.13,0.13,-1.63
00:38,0.14,0.13,-1.66,0.13,0.13,0.13,-1.66
00:39,0.13,0.13,-1.54,0.13,0.13,0.13,-1.51
00:40,0.14,0.13,-1.49,0.13,0.13,0.13,-1.49
