,2025-03-24,2025-04-05,2025-04-06,2025-04-07,2025-04-12,2025-04-13,2025-04-20,2025-04-26,2025-04-28,2025-04-29,2025-04-30,2025-05-03,2025-05-05,2025-05-06,2025-05-07,2025-05-11,2025-05-14,2025-05-18,2025-05-19,2025-05-20,2025-05-23,2025-05-26,2025-05-28,2025-06-02,2025-06-03,2025-06-09,2025-06-11,2025-06-12,2025-06-13,2025-06-15,2025-06-20,2025-06-24,2025-06-27,2025-06-29,2025-06-30,2025-07-02,2025-07-03,2025-07-04,2025-07-16,2025-07-17,2025-07-21,2025-07-27,2025-07-28,2025-07-30,2025-07-31,2025-08-01,2025-08-02,2025-08-07,2025-08-08,2025-08-16,2025-08-20,2025-08-21,2025-08-22,2025-08-24,2025-08-29,2025-09-01,2025-09-08,2025-09-15
00:30,0.0,0.0,0.0,0.0,-0.001,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
01:00,0.0,0.0,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,
01:30,0.0,0.0,0.0,0.0,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,
02:00,0.0,0.0,0.0,0.0,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,
02:30,0.0,0.0,0.0,0.0,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,
03:00,0.0,0.0,0.0,0.0,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,
03:30,0.0,0.0,0.0,0.0,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,
04:00,0.0,0.0,0.0,0.0,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0009,-0.001,-0.0009333333333333333,-0.0008333333333333334,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,
04:30,0.0,0.0,0.0,0.0,,,-0.001,-0.001,-0.001,-0.001,-0.0009333333333333333,-0.0008666666666666667,,,-0.0006333333333333333,-0.0006666666666666666,-0.00043333333333333337,-0.0005666666666666667,-0.0009,0.0004,0.008533333333333334,0.0012666666666666666,-0.00030000000000000003,0.011066666666666667,0.0015666666666666667,0.017766666666666667,0.0005333333333333334,0.022366666666666667,0.0235,0.023899999999999998,0.0028333333333333335,0.002033333333333333,0.010866666666666667,0.009000000000000001,0.0073,0.0021333333333333334,0.0032,-0.0001,-0.0006000000000000001,-0.0005666666666666667,-0.0005333333333333334,-0.0007666666666666667,-0.0006000000000000001,-0.0009333333333333333,-0.0007333333333333333,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,
05:00,0.0,0.0,0.0,0.0,,,-0.0006333333333333333,0.0088,-0.00013333333333333334,0.003766666666666667,0.008700000000000001,0.023866666666666665,,,0.09873333333333334,0.036000000000000004,0.07263333333333333,0.0172,0.011733333333333333,0.04103333333333334,0.19870000000000002,0.07043333333333333,0.059699999999999996,0.19013333333333332,0.1321,0.10573333333333333,0.017433333333333335,0.17756666666666668,0.22796666666666668,0.3128666666666666,0.13176666666666667,0.041,0.2072,0.1552666666666667,0.10990000000000001,0.08380000000000001,0.0928,0.04933333333333333,0.064,0.030033333333333335,0.030633333333333335,0.035666666666666666,0.06273333333333334,0.0027666666666666664,0.01923333333333333,0.00013333333333333334,0.0036999999999999997,-0.0003333333333333333,0.0151,0.0053,0.004600000000000001,-0.0005,-0.0005666666666666667,0.0001,-0.0007333333333333333,-0.0007333333333333333,-0.001,
