,2025-03-24,2025-03-31,2025-04-05,2025-04-15,2025-04-17,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-27,2025-05-05,2025-05-06,2025-05-12,2025-05-29,2025-06-02,2025-06-04,2025-06-17,2025-06-20,2025-06-25,2025-06-30,2025-07-01,2025-07-05,2025-07-07,2025-07-14,2025-07-15,2025-07-17,2025-08-07,2025-08-08,2025-08-09,2025-08-11,2025-08-12,2025-08-18,2025-08-23,2025-09-01,2025-09-02,2025-09-07,2025-09-08
00:30,,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00,,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:30,,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00,,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:30,,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00,,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:30,,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00,,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,,,-0.001,-0.001,-0.001,-0.001,-0.0009,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:30,,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,,,-0.001,0.0017333333333333335,0.0052,0.008566666666666667,0.005233333333333334,6.666666666666667e-05,0.0019333333333333331,0.0038333333333333336,0.0006666666666666666,0.0,3.3333333333333335e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00,,0.0,0.0,-0.0007333333333333333,3.333333333333331e-05,-0.0005666666666666667,-0.0008,0.0004333333333333333,0.0037,0.014766666666666668,,,-0.00023333333333333333,0.10123333333333333,0.14880000000000002,0.1624,0.18716666666666668,0.06476666666666667,0.04596666666666667,0.07876666666666667,0.09476666666666667,0.03056666666666667,0.060899999999999996,0.016566666666666667,0.009233333333333335,0.014666666666666666,0.0,0.005833333333333333,0.0053,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0
